"Reference","Value","Footprint","Description","MANUFACTURER","MANUFACTURER_PART_NUMBER","Qty","Datasheet"
"U4","16 MHz","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering","Two pin crystal","ABRACON","ABM8-16.000MHZ-D4Y-T","1","https://www.mouser.de/datasheet/3/184/1/abm8.pdf"
"Y2","32.768 kHz","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering","Two pin crystal","ABRACON","ABS25-32.768KHZ-6-T","1","https://www.mouser.de/datasheet/3/184/1/abs25.pdf"
"Y1","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Adam Tech","PH2-06-UA","1","https://app.adam-tech.com/products/download/data_sheet/202065/ph2-xx-ua-data-sheet.pdf"
"D1,D2","DS1337STR-maxim integrated","Timer:DS1337S-Maxim Intergrated","DS1337 I2C Serial Real-Time Clock","Analog Devices","DS1337S+T&R","2","https://www.analog.com/media/en/technical-documentation/data-sheets/DS1337-DS1337C.pdf"
"BT1","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","Broadcom / Avago","HSMW-C170-U0000","1","https://docs.broadcom.com/doc/HSMW-C170-U0000-DS100#:~:text=The%20HSMW%2DC170%2DU0000%20ChipLED,has%20a%20wide%20viewing%20angle."
"C1,C4","Battery","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Multiple-cell battery","Harwin","M22-2510205","2","https://www.mouser.de/datasheet/3/71/1/M22_251.pdf"
"C5","0.1uF","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","KEMET","C0603C104M4RAC","1","https://www.mouser.de/datasheet/3/508/1/KEM_C1002_X7R_SMD.pdf"
"U1,U2","100nF","Capacitor_SMD:C_0805_2012Metric","Polarized capacitor","KEMET","C0603C100C5GACTU","2","https://www.mouser.de/datasheet/3/72/1/KEM_C1003_C0G_SMD.pdf"
"C2,C3","ATMEGA328P-AU","MCU:MCU_ATmega328P-AU","ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)","Microchip Technology","ATMEGA328P-AU","2","https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/ATmega48A-PA-88A-PA-168A-PA-328-P-DS-DS40002061B.pdf"
"U3","24LC1025","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","I2C Serial EEPROM, 1024Kb, DIP-8/SOIC-8/TSSOP-8/DFN-8","Microchip Technology","24LC1025-I/SN","1","https://eu.mouser.com/datasheet/3/282/1/24AA1025-24LC1025-24FC1025-1024-Kbit-I2C-Serial-EEPROM-20001941M.pdf"
"R1,R2,R5","22pF","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","Samsung Electro-Mechanics","CL21X226MAYNNWE","3","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL21X226MAYNNW"
"J1,J2","10k","Resistor_SMD:R_0805_2012Metric","Resistor","Vishay / Beyschlag","MCU08050E1002BP100","2","https://www.vishay.com/docs/28700/mcx0x0xpre.pdf"
"J3","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated","Würth Elektronik","61300411121","1","https://www.we-online.com/components/products/datasheet/61300411121.pdf"
"J4","Conn_01x09_Pin","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","Generic connector, single row, 01x09, script generated","Würth Elektronik","61301011121","1","https://www.we-online.com/components/products/datasheet/61301011121.pdf"
"R3,R4","4.7k","Resistor_SMD:R_0805_2012Metric","Resistor","YAGEO","AC0805JR-134K7L","2","https://eu.mouser.com/datasheet/3/508/1/PYU_AC_51_ROHS_L.pdf"
"R6,R7","330","Resistor_SMD:R_0805_2012Metric","Resistor","YAGEO","RE0805DRE07330RL","2","https://eu.mouser.com/datasheet/3/508/1/pyu-re_105_rohs_l.pdf"
